casnumber,chemicalname,proposed_parent_cas_dashed,proposed_parent_casnumber,proposed_parent_name,proposed_match_rationale,confidence,notes
544923,Copper cyanide (Cu(CN)),7440-50-8,7440508,Copper,Cu salt -> Cu element,high,
545551,"Tri(aziridin-1-yl)phosphine oxide;1,1',1''-Phosphoryltris(aziridine)",545-55-1,545551,Tri(aziridin-1-yl)phosphine oxide,"direct - no simpler parent: distinct phosphine oxide compound, registered chemosterilant",high,
548629,"Gentian Violet;4-{Bis[4-(dimethylamino)phenyl]methylidene}-N,N-dimethylcyclohexa-2,5-dien-1-iminium chloride",548-62-9,548629,Gentian Violet (Crystal violet),"direct - no simpler parent: iminium chloride dye, cation is a permanently charged chromophore",high,
549188,"Amitriptyline hydrochloride;3-(10,11-Dihydro-5H-dibenzo[a,d][7]annulen-5-ylidene)-N,N-dimethylpropan-1-amine--hydrogen chloride (1/1)",50-48-6,50486,Amitriptyline,HCl salt of organic base -> free base,high,
554132,Lithium carbonate;Dilithium carbonate,554-13-2,554132,Lithium carbonate,"direct - no simpler parent: common alkaline-earth-group salt, not collapsed to element",medium,"Judgment call: Lithium is an emerging contaminant of growing ecotoxicological interest, so collapsing to elemental Lithium is plausible, but the lookup has no established Lithium parent precedent and carbonate of Na/K stays direct in this table, so kept direct for consistency. Flag for reviewer."
569642,"Malachite green;4-{[4-(Dimethylamino)phenyl](phenyl)methylidene}-N,N-dimethylcyclohexa-2,5-dien-1-iminium chloride",569-64-2,569642,Malachite green,"direct - no simpler parent: iminium chloride dye, cation is a permanently charged chromophore (consistent with Malachite green oxalate precedent already in lookup)",high,
581646,"Phenothiazin-5-ium, 3,7-diamino-, chloride (1:1);3,7-Diaminophenothiazin-5-ium chloride",581-64-6,581646,"Thionin (3,7-diaminophenothiazin-5-ium chloride)","direct - no simpler parent: phenothiazinium chloride dye, cation is a permanently charged chromophore",high,
584087,"Carbonic acid, dipotassium salt;Dipotassium carbonate",584-08-7,584087,Potassium carbonate,"direct - no simpler parent: common alkalinity salt, not a metal-toxicity-driven entry",high,
593566,O-Methylhydroxylamine hydrochloride;O-Methylhydroxylamine--hydrogen chloride (1/1),67-62-9,67629,O-Methylhydroxylamine (methoxyamine),HCl salt of organic base -> free base,high,
593817,"N,N-Dimethylmethanamine hydrochloride;N,N-Dimethylmethanamine--hydrogen chloride (1/1)",75-50-3,75503,Trimethylamine,HCl salt of organic base -> free base,high,
598027,Diethyl hydrogen phosphate;Diethyl hydrogen phosphate,598-02-7,598027,Diethyl hydrogen phosphate,"direct - no simpler parent: phosphate diester, distinct industrial chemical",high,
606553,1-Ethyl-2-methylquinolinium iodide (1:1),606-55-3,606553,1-Ethyl-2-methylquinolinium iodide,"direct - no simpler parent: quaternary heteroaromatic (quinolinium) salt, cation permanently charged",high,
611198,2-Chlorobenzyl chloride;1-Chloro-2-(chloromethyl)benzene,611-19-8,611198,2-Chlorobenzyl chloride,direct - no simpler parent: simple organohalide,high,
622457,Cyclohexyl acetate;Cyclohexyl acetate,622-45-7,622457,Cyclohexyl acetate,direct - no simpler parent: simple ester,high,
627634,Fumaryl chloride;(2E)-But-2-enedioyl dichloride,627-63-4,627634,Fumaryl chloride,"direct - no simpler parent: acid dichloride, distinct reactive chemical",high,
628637,Pentyl acetate;Pentyl acetate,628-63-7,628637,Pentyl acetate,direct - no simpler parent: simple ester,high,
632995,"C.I. Basic Violet 14;4-[(4-Aminophenyl)(4-iminocyclohexa-2,5-dien-1-ylidene)methyl]-2-methylaniline--hydrogen chloride (1/1)",632-99-5,632995,C.I. Basic Violet 14 (Pararosaniline hydrochloride),"direct - no simpler parent: triarylmethane dye salt, itself the registered/reference colored form",medium,"Named with an explicit ""--hydrogen chloride (1/1)"" adduct notation (unlike the other dye salts in this batch, which are named directly as ""...ium chloride""), which could instead indicate the convention wants this resolved to a neutral free-base/leuco form (e.g. Pararosaniline base, CAS 467-62-9). Kept direct since the cationic chloride salt is the standard marketed dye form, but flagging the naming-pattern inconsistency for reviewer."
639587,Triphenyltin chloride;Chloro(triphenyl)stannane,76-87-9,76879,Triphenyltin hydroxide (Fentin hydroxide),"triphenyltin salt -> Triphenyltin hydroxide (reference congener), consistent with Tributyltin regulatory-representative precedent",high,
678411,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluoro-1-decanol, 1,1'-(Hydrogen phosphate)",678-41-1,678411,Bis(heptadecafluorodecyl) hydrogen phosphate,"direct - no simpler parent: fluorotelomer phosphate diester (PFAS), distinct registered chemical, not collapsed to phosphoric acid",high,
683103,"1-Dodecanaminium, N-(carboxymethyl)-N,N-dimethyl-, inner salt;[Dodecyl(dimethyl)azaniumyl]acetate",683-10-3,683103,Lauryl betaine ([dodecyl(dimethyl)azaniumyl]acetate),"direct - no simpler parent: zwitterionic (betaine) surfactant - an inner salt, not a salt of a simpler isolable parent",high,
712481,Diphenylarsinous chloride,712-48-1,712481,Diphenylarsinous chloride,direct - no simpler parent: organoarsenic compound (consistent with Cacodylic acid sodium salt precedent - covalently-substituted organoarsenicals are not collapsed to elemental Arsenic; the speciation convention targets simple inorganic oxyanions only),high,
762754,tert-Butyl formate,762-75-4,762754,tert-Butyl formate,direct - no simpler parent: simple ester,high,
773648,"2,4,6-Trimethylbenzenesulfonyl chloride",773-64-8,773648,"2,4,6-Trimethylbenzenesulfonyl chloride",direct - no simpler parent: sulfonyl chloride,high,
791286,Triphenylphosphine oxide;Oxo(triphenyl)-lambda~5~-phosphane,791-28-6,791286,Triphenylphosphine oxide,"direct - no simpler parent: phosphine oxide, distinct compound class from phosphate esters",high,
804637,"Quinine sulfate (2:1);Sulfuric acid--(8alpha,9R)-6'-methoxycinchonan-9-ol (1/2)",13-09-5,13095,Quinine,sulfate salt of organic base -> free base (alkaloid),high,
813785,Dimethyl phosphate;Dimethyl hydrogen phosphate,813-78-5,813785,Dimethyl hydrogen phosphate,"direct - no simpler parent: phosphate diester, distinct industrial chemical",high,
823041,Phenylmercuric iodide,7439-97-6,7439976,Mercury,"organomercury halide -> Mercury (consistent with established ""Phenylmercuric chloride -> Mercury"" precedent in lookup, same naming pattern with a different halide)",medium,"Organomercury toxicity differs substantially from inorganic/elemental Hg; flagged for reviewer, but followed existing table precedent for this exact naming pattern."
825445,"Benzo(b)thiophene 1,1-dioxide;1H-1-Benzothiophene-1,1-dione",825-44-5,825445,"Benzo(b)thiophene 1,1-dioxide","direct - no simpler parent: sulfone (S,S-dioxide), distinct compound - not a metal oxide salt",high,
826391,"N,2,3,3-Tetramethylbicyclo[2.2.1]heptan-2-amine--hydrogen chloride",60-40-2,60402,Mecamylamine,HCl salt of organic base -> free base (registered pharmaceutical),high,
828002,"Dimethoxane;2,6-Dimethyl-1,3-dioxan-4-yl acetate",828-00-2,828002,Dimethoxane,direct - no simpler parent: registered fungicide/preservative active ingredient (itself the acetate ester),high,
859187,"Lincomycin hydrochloride;Methyl 6,8-dideoxy-6-{[(4R)-1-methyl-4-propyl-L-prolyl]amino}-1-thio-D-erythro-alpha-D-galacto-octopyranoside--hydrogen chloride (1/1)",154-21-2,154212,Lincomycin,HCl salt of organic base -> free base (antibiotic),high,
868188,Sodium tartrate,868-18-8,868188,Sodium tartrate,direct - no simpler parent: common organic-acid sodium salt,high,
900958,Triphenyltin acetate;(Acetyloxy)(triphenyl)stannane,76-87-9,76879,Triphenyltin hydroxide (Fentin hydroxide),"triphenyltin salt -> Triphenyltin hydroxide (reference congener), consistent with Tributyltin regulatory-representative precedent",high,
950356,Methylparaoxon;Dimethyl 4-nitrophenyl phosphate,950-35-6,950356,Methylparaoxon,direct - no simpler parent: organophosphate compound (oxon metabolite of methyl parathion),high,
961115,"Tetrachlorovinphos;2-Chloro-1-(2,4,5-trichlorophenyl)ethenyl dimethyl phosphate",961-11-5,961115,Tetrachlorovinphos,direct - no simpler parent: registered organophosphate insecticide active ingredient,high,
962583,Diazoxon;Diethyl 6-methyl-2-(propan-2-yl)pyrimidin-4-yl phosphate,962-58-3,962583,Diazoxon,direct - no simpler parent: organophosphate compound (oxon metabolite of diazinon),high,
964523,4-[2-(Dimethylamino)ethoxy]-2-methyl-5-(1-methylethyl)phenol 1-acetate hydrochloride (1:1),NA,NA,Possibly Moxisylyte (Thymoxamine) free base - tentative structural ID,UNCERTAIN - needs human review,low,"Structure (thymol-type phenol, acetate ester on the phenol OH, dimethylaminoethoxy ether, HCl salt) resembles the moxisylyte/thymoxamine pharmacophore, but I could not confidently verify an exact CAS for the free-base/des-HCl form from memory. If the HCl-salt-of-organic-base rule applies, the parent would be the neutral acetate-ester compound (analogous to Cyproterone acetate, the ester itself is the active form) rather than further hydrolysis to the free phenol. Recommend a PubChem/ChemIDplus lookup of CAS 964-52-3 to confirm identity before accepting."
971744,"2-Amino-1,5-dihydro-1-methyl-4H-Imidazol-4-one compd. with 3-(2-aminoethyl)-1H-indol-5-ol sulfate (1:1:1)",NA,NA,NA,"MIXTURE OR PSEUDO-CAS - cannot resolve: ""compd. with"" notation joining two chemically distinct named components (an aminoimidazolone and a serotonin-sulfate moiety) with stoichiometry (1:1:1)",high,
973217,"Dinobuton;2-(Butan-2-yl)-4,6-dinitrophenyl propan-2-yl carbonate",973-21-7,973217,Dinobuton,direct - no simpler parent: registered dinitrophenol-class acaricide active ingredient (itself the carbonate ester),high,
999815,"Chlormequat chloride;2-Chloro-N,N,N-trimethylethan-1-aminium chloride",999-81-5,999815,Chlormequat chloride,"direct - no simpler parent: quaternary ammonium salt, registered plant growth regulator (itself the standard registered salt form)",high,
1013236,"Dibenzothiopene 5-oxide;5H-5lambda~4~-Dibenzo[b,d]thiophen-5-one",1013-23-6,1013236,Dibenzothiophene 5-oxide,"direct - no simpler parent: sulfoxide, distinct compound - not a metal oxide salt",high,
1016053,"Dibenzothiophene 5,5-dioxide;5H-5lambda~6~-Dibenzo[b,d]thiophene-5,5-dione",1016-05-3,1016053,"Dibenzothiophene 5,5-dioxide","direct - no simpler parent: sulfone, distinct compound - not a metal oxide salt",high,
1031078,"Endosulfan sulfate;6,7,8,9,10,10-Hexachloro-1,5,5a,6,9,9a-hexahydro-3H-6,9-methano-3lambda~6~-2,4,3lambda~6~-benzodioxathiepine-3,3-dione",1031-07-8,1031078,Endosulfan sulfate,"direct - no simpler parent: distinct registered oxidative environmental metabolite of endosulfan, tracked as its own analyte (not an ionic sulfate salt)",high,
1066451,Trimethyltin chloride;Chloro(trimethyl)stannane,1066-45-1,1066451,Trimethyltin chloride,"direct - no simpler parent: organotin compound, no established simpler reference congener in this lookup (cf. Dibutyltin/Stannane-type entries treated as direct)",medium,
1067294,Bis(tripropyltin) oxide;Hexapropyldistannoxane,1067-29-4,1067294,Bis(tripropyltin) oxide,"direct - no simpler parent: organotin compound (oxide-bridged dimer), no established simpler reference congener",medium,
1119944,"N,N,N-Trimethyldodecan-1-aminium bromide",1119-94-4,1119944,Dodecyltrimethylammonium bromide,direct - no simpler parent: quaternary ammonium salt,high,
1119977,"Tetradonium bromide;N,N,N-Trimethyltetradecan-1-aminium bromide",1119-97-7,1119977,Tetradonium bromide,direct - no simpler parent: quaternary ammonium salt,high,
1120010,Sodium hexyldecyl sulfate;Sodium hexadecyl sulfate,1120-01-0,1120010,Sodium hexadecyl sulfate,direct - no simpler parent: alkyl sulfate ester surfactant,high,
1120021,"N,N,N-Trimethyl-1-octadecanaminium bromide (1:1)",1120-02-1,1120021,"N,N,N-Trimethyl-1-octadecanaminium bromide",direct - no simpler parent: quaternary ammonium salt,high,
1121762,4-Chloropyridine 1-oxide,1121-76-2,1121762,4-Chloropyridine 1-oxide,direct - no simpler parent: N-oxide integral to this distinct compound (cf. 4-Nitroquinoline 1-oxide precedent),high,
1191500,Sodium myristyl sulfate;Sodium tetradecyl sulfate,1191-50-0,1191500,Sodium tetradecyl sulfate,direct - no simpler parent: alkyl sulfate ester surfactant,high,
1239458,"3,8-Diamino-5-ethyl-6-phenylphenanthridinium, Bromide",1239-45-8,1239458,Ethidium bromide,"direct - no simpler parent: phenanthridinium bromide dye/intercalator, cation permanently charged",high,
1241947,2-Ethylhexyl diphenyl phosphate;2-Ethylhexyl diphenyl phosphate,1241-94-7,1241947,2-Ethylhexyl diphenyl phosphate,"direct - no simpler parent: phosphate ester, flame retardant/plasticizer",high,
1263894,"Paromomycin sulfate;Sulfuric acid--(1R,2R,3S,4R,6S)-4,6-diamino-2-{[3-O-(2,6-diamino-2,6-dideoxy-beta-L-idopyranosyl)-beta-D-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-alpha-D-glucopyranoside (1/1)",7542-37-2,7542372,Paromomycin,sulfate salt of organic base -> free base (aminoglycoside antibiotic),high,
1264728,"Colistin, Sulfate (salt)",106-61-7,106617,Colistin,sulfate salt of organic base -> free base (polypeptide antibiotic),high,
1305620,Calcium hydroxide (Ca(OH)2),7440-70-2,7440702,Calcium,"Ca hydroxide -> Ca element (consistent with Stage 2b pilot precedent: Calcium oxide -> Calcium, high confidence)",high,"Calcium is an essential major ion typically assessed via hardness in water-quality work, but the pilot already established Calcium oxide -> Calcium for this lookup, so the analogous hydroxide is resolved the same way for consistency."
1305788,Calcium oxide;(Oxido)calcium,7440-70-2,7440702,Calcium,Ca oxide -> Ca element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
1306383,Ceric oxide;Bis(oxido)cerium,7440-45-1,7440451,Cerium,Ce oxide -> Ce element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
1308878,Dysprosium oxide (Dy2O3),7429-91-6,7429916,Dysprosium,Dy oxide -> Dy element,high,
1309371,Iron oxide (Fe2O3),7439-89-6,7439896,Iron,Fe oxide -> Fe element,high,
1309428,Magnesium hydroxide (Mg(OH)2),7439-95-4,7439954,Magnesium,Mg hydroxide -> Mg element (consistent with Stage 2b pilot precedent: Calcium oxide -> Calcium),high,
1309644,"Antimony trioxide;Distiboxane-1,3-dione",7440-36-0,7440360,Antimony,Sb oxide -> Sb element,high,
1310538,Germanium dioxide;Germanedione,7440-56-4,7440564,Germanium,Ge oxide -> Ge element,high,
1310583,Potassium hydroxide (K(OH)),7440-09-7,7440097,Potassium,K hydroxide -> K element (consistent with Calcium hydroxide/oxide precedent),medium,"KOH's main ecological driver is causticity/pH rather than potassium-specific toxicity, but kept consistent with the oxide/hydroxide-collapses-to-element pattern established by the pilot (Calcium oxide -> Calcium). Flag for reviewer if alkali-metal hydroxides should be treated as a ""direct"" exception instead."
1310732,Sodium hydroxide,7440-23-5,7440235,Sodium,Na hydroxide -> Na element (consistent with Calcium hydroxide/oxide precedent),medium,Same causticity-vs-metal-toxicity nuance as Potassium hydroxide above. Flag for reviewer.
1313275,Molybdenum trioxide (MoO3),7439-98-7,7439987,Molybdenum,Mo oxide -> Mo element,high,
1313822,Sodium sulfide (Na2S),7783-06-4,7783064,Hydrogen sulfide,"Na2S -> sulfide ion equivalent (Hydrogen sulfide is the established reference analyte for sulfide/hydrosulfide speciation in this lookup, consistent with how Sodium nitrate/vanadate/arsenite resolve to the toxicologically relevant anion/element rather than to Sodium)",medium,
1313844,"Sodium sulfide, Nonahydrate",7783-06-4,7783064,Hydrogen sulfide,Na2S hydrate -> sulfide ion equivalent (same reasoning as Sodium sulfide),medium,
1314369,Yttrium oxide (Y2O3)  ,7440-65-5,7440655,Yttrium,Y oxide -> Y element,high,
1314563,Phosphorus oxide (P2O5),14265-44-2,14265442,Phosphate,"P2O5 hydrolyzes to phosphate in water; resolved to Phosphate consistent with the nutrient-ion convention (kept as the ion, not reduced further to elemental phosphorus)",medium,
1314643,Uranyl sulfate,7440-61-1,7440611,Uranium,uranyl salt -> U element,high,
1317335,Molybdenum sulfide (MoS2),7439-98-7,7439987,Molybdenum,Mo sulfide -> Mo element,high,
1317379,Ferrous sulfide,7439-89-6,7439896,Iron,Fe sulfide -> Fe element,high,
1317619,Iron oxide (Fe3O4),7439-89-6,7439896,Iron,Fe oxide -> Fe element,high,
1327419,"Aluminum chloride, basic",7429-90-5,7429905,Aluminium,basic Al chloride salt -> Al element (consistent with established Aluminium chloride -> Aluminium precedent),high,
1330785,Tricresyl phosphate,1330-78-5,1330785,Tricresyl phosphate,"direct - no simpler parent: phosphate ester, distinct industrial chemical",high,
1333739,Sodium borate;Trisodium borate,7440-42-8,7440428,Boron,Na borate -> B element (consistent with established Boric acid -> Boron precedent),high,
1334776,Pyridylmercuric acetate,7439-97-6,7439976,Mercury,"organomercury acetate -> Mercury (consistent with established ""Xmercuric + anion"" -> Mercury precedent in lookup)",medium,Organomercury toxicity differs substantially from inorganic/elemental Hg; flagged for reviewer.
1336216,Ammonium hydroxide ((NH4)(OH)),1336-21-6,1336216,Ammonium hydroxide,"direct - no simpler parent: aqueous ammonia, common reagent (ammonium is not a metal; consistent with established ammonium-salts-stay-direct precedent)",high,
1344281,Aluminum oxide (Al2O3),7429-90-5,7429905,Aluminium,Al oxide -> Al element,high,
1344576,Uranium oxide (UO2);Bis(oxido)uranium,7440-61-1,7440611,Uranium,U oxide -> U element,high,
1344816,Calcium sulfide (Ca(Sx)),7783-06-4,7783064,Hydrogen sulfide,Ca polysulfide -> sulfide ion equivalent (same reasoning as Sodium sulfide),medium,"Polysulfide (Sx) speciation is more complex than simple S2-, so this is a coarser approximation than the simple sulfide cases; flag for reviewer."
1345251,Iron oxide (FeO),7439-89-6,7439896,Iron,Fe oxide -> Fe element,high,
1405410,Gentamicin sulfate,1403-66-3,1403663,Gentamicin,sulfate salt of organic base -> free base (aminoglycoside antibiotic),high,
1421143,Propanidid;Propyl {4-[2-(diethylamino)-2-oxoethoxy]-3-methoxyphenyl}acetate,1421-14-3,1421143,Propanidid,direct - no simpler parent: registered anesthetic active ingredient (itself the propyl ester),high,
1441027,Pentachlorophenol acetate,87-86-5,87865,Pentachlorophenol,"acetate ester -> pentachlorophenol parent (analogous to phenoxy-herbicide ester convention; PCP is the well-established, separately tracked parent toxicant, and the acetate ester hydrolyzes to release it)",medium,
1639607,"(2S,3R)-(+)-4-(Dimethylamino)-3-methyl-1,2-diphenyl-2-butanol propionate hydrochloride;(2S,3R)-4-(Dimethylamino)-3-methyl-1,2-diphenylbutan-2-yl propanoate--hydrogen chloride (1/1)",46-96-2,46962,Dextropropoxyphene,HCl salt of organic base -> free base (opioid analgesic; the propionate ester is the registered active pharmaceutical form and is not hydrolyzed further),high,
1643192,"Tetrabutylammonium bromide;N,N,N-Tributylbutan-1-aminium bromide",1643-19-2,1643192,Tetrabutylammonium bromide,direct - no simpler parent: quaternary ammonium salt,high,
1643205,"N,N-Dimethyldodecylamine-N-oxide;N,N-Dimethyldodecan-1-amine N-oxide",1643-20-5,1643205,"N,N-Dimethyldodecylamine N-oxide (lauramine oxide)","direct - no simpler parent: amine-oxide surfactant - a neutral zwitterion-like functional group, not a simple salt of a free amine",high,
1928434,"2,4-D 2-EHE;2-Ethylhexyl (2,4-dichlorophenoxy)acetate",94-75-7,94757,"2,4-D","2-ethylhexyl ester -> 2,4-D acid parent",high,Reused from Stage 2b pilot - same CAS appeared in both samples.
1928456,"2,4-D 3-butoxypropyl ester;3-Butoxypropyl (2,4-dichlorophenoxy)acetate",94-75-7,94757,"2,4-D","3-butoxypropyl ester -> 2,4-D acid parent",high,
1928581,"2,4,5-T 3-(2-butoxyethoxy)propyl ester;3-(2-Butoxyethoxy)propyl (2,4,5-trichlorophenoxy)acetate",93-76-5,93765,"2,4,5-T","3-(2-butoxyethoxy)propyl ester -> 2,4,5-T acid parent",high,
1929733,"2,4-D-Butotyl;2-Butoxyethyl (2,4-dichlorophenoxy)acetate",94-75-7,94757,"2,4-D","2-butoxyethyl ester -> 2,4-D acid parent",high,
1943119,Nonyltrimethylammonium bromide,1943-11-9,1943119,Nonyltrimethylammonium bromide,direct - no simpler parent: quaternary ammonium salt,high,
2026246,"[1R-(1-alpha,4a-beta,10a-alpha]-1,2,3,4,4a,9,10,10a-Octahydro-1,4a-dimethyl-7-(1-methylethyl)-1-phenanthrenemethanamine, Acetate",NA,NA,Dehydroabietylamine (free base),acetate salt of organic base -> free base,medium,"Structural identification (octahydrophenanthrenemethanamine with dimethyl/isopropyl substitution) is consistent with dehydroabietylamine, a rosin-derived amine; exact free-base CAS not confidently verified from memory - recommend confirming before use."
2051798,"N4,N4-Diethyl-2-methylbenzene-1,4-diamine hydrochloride;N~4~,N~4~-Diethyl-2-methylbenzene-1,4-diamine--hydrogen chloride (1/1)",NA,NA,"N4,N4-Diethyl-2-methylbenzene-1,4-diamine (free base; photographic colour-developer intermediate)",HCl salt of organic base -> free base,medium,"Free-base CAS not confidently verified from memory; rule application (strip HCl adduct) is high-confidence, but the exact registry number should be confirmed before use."
2058460,"Oxytetracycline hydrochloride;(4S,4aR,5S,5aR,6S,12aS)-4-(Dimethylamino)-3,5,6,10,12,12a-hexahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide--hydrogen chloride (1/1)",79-57-2,79572,Oxytetracycline,HCl salt of organic base -> free base (tetracycline antibiotic),high,
2074502,"1,1'-Dimethyl-4,4'-bipyridinium bis(methyl sulfate);1,1'-Dimethyl-4,4'-bipyridin-1-ium bis(methyl sulfate)",4685-14-7,4685147,Paraquat dichloride,"different paraquat salt form (bis-methylsulfate) -> Paraquat dichloride, the registered reference form per existing lookup precedent (""Paraquat - salt IS the registered form"")",high,
2082840,Decyltrimethylammonium bromide,2082-84-0,2082840,Decyltrimethylammonium bromide,direct - no simpler parent: quaternary ammonium salt,high,
2122705,Ethyl 1-naphthaleneacetate;Ethyl (naphthalen-1-yl)acetate,86-87-3,86873,1-Naphthaleneacetic acid (NAA),"ethyl ester -> NAA acid parent (plant growth regulator ester convention, analogous to phenoxy-herbicide ester treatment)",medium,
2235258,Ethylmercuric phosphate;Dihydrogen ethyl[phosphato(3-)-kappaO]mercurate(2-),7439-97-6,7439976,Mercury,"organomercury phosphate -> Mercury (consistent with established ""Xmercuric/mercury + anion"" -> Mercury precedent in lookup)",medium,Organomercury toxicity differs substantially from inorganic/elemental Hg; flagged for reviewer.
2235543,Ammonium dodecyl sulfate,2235-54-3,2235543,Ammonium dodecyl sulfate,"direct - no simpler parent: alkyl sulfate ester surfactant, ammonium is just the counterion",high,
2255176,Fenitrooxone;Dimethyl 3-methyl-4-nitrophenyl phosphate,2255-17-6,2255176,Fenitrooxone,direct - no simpler parent: organophosphate compound (oxon metabolite of fenitrothion),high,
2279767,Tripropyltin chloride;Chloro(tripropyl)stannane,2279-76-7,2279767,Tripropyltin chloride,"direct - no simpler parent: organotin compound, no established simpler reference congener",medium,
2439001,"2,3,6-Trichlorophenylacetic acid sodium salt;Sodium (2,3,6-trichlorophenyl)acetate",85-34-7,85347,"Fenac (2,3,6-trichlorophenylacetic acid)","sodium salt -> Fenac acid parent (registered phenylacetic-acid herbicide, analogous to phenoxy-acid sodium-salt convention)",medium,
2465272,"Auramine hydrochloride;4,4'-Carbonimidoylbis(N,N-dimethylaniline)--hydrogen chloride (1/1)",492-80-8,492808,Auramine,"HCl salt of organic base -> free base (the imine nitrogen is neutral/basic here, unlike the permanently-charged iminium dye salts elsewhere in this batch that are named directly as ""...ium chloride"")",high,
2508863,"4-Quinolinamine, 1-Oxide",2508-86-3,2508863,"4-Quinolinamine, 1-Oxide",direct - no simpler parent: N-oxide is integral to this distinct compound,high,
2528361,Dibutyl phenyl phosphate;Dibutyl phenyl phosphate,2528-36-1,2528361,Dibutyl phenyl phosphate,"direct - no simpler parent: phosphate ester, distinct industrial chemical",high,
2528383,Tripentyl phosphate;Tripentyl phosphate,2528-38-3,2528383,Tripentyl phosphate,"direct - no simpler parent: phosphate ester, distinct industrial chemical",high,
2545597,"2,4,5-T-butotyl;2-Butoxyethyl (2,4,5-trichlorophenoxy)acetate",93-76-5,93765,"2,4,5-T","2-butoxyethyl ester -> 2,4,5-T acid parent",high,
2595519,"Phosphoric acid, (1-(benzylthio)vinyl) diethyl ester;1-(Benzylsulfanyl)ethenyl diethyl phosphate",2595-51-9,2595519,"Phosphoric acid, (1-(benzylthio)vinyl) diethyl ester","direct - no simpler parent: organophosphate ester compound, distinct registered entity",high,
2595531,"Phosphoric acid, 1-((p-chlorophenyl)thio)vinyl dimethyl ester;1-[(4-Chlorophenyl)sulfanyl]ethenyl dimethyl phosphate",2595-53-1,2595531,"Phosphoric acid, 1-((p-chlorophenyl)thio)vinyl dimethyl ester","direct - no simpler parent: organophosphate ester compound, distinct registered entity",high,
2597037,Phenthoate;Ethyl [(dimethoxyphosphorothioyl)sulfanyl](phenyl)acetate,2597-03-7,2597037,Phenthoate,direct - no simpler parent: registered organophosphate insecticide active ingredient,high,
2702729,"2,4-D sodium salt;Sodium (2,4-dichlorophenoxy)acetate",94-75-7,94757,"2,4-D","sodium salt -> 2,4-D acid parent",high,
2767546,Triethyltin bromide;Bromo(triethyl)stannane,2767-54-6,2767546,Triethyltin bromide,"direct - no simpler parent: organotin compound, no established simpler reference congener",medium,
2921315,"2-Chlorohexahydro-4-methyl-4H-1,3,2-benzodioxaphosphorin 2-sulfide",2921-31-5,2921315,Salithion,direct - no simpler parent: registered cyclic organophosphate insecticide active ingredient,medium,
3012655,Ammonium citrate (2:1);Bisammonium 2-(carboxymethyl)-2-hydroxybutanedioate,3012-65-5,3012655,Ammonium citrate,direct - no simpler parent: ammonium salt of citric acid (consistent with established ammonium-salt precedent),high,
3033770,"N,N,N-Trimethyl(oxiran-2-yl)methanaminium chloride;N,N,N-Trimethyl(oxiran-2-yl)methanaminium chloride",3033-77-0,3033770,Glycidyltrimethylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
3204271,"Dinoterb acetate [ISO];2-tert-Butyl-4,6-dinitrophenyl acetate",3204-27-1,3204271,Dinoterb acetate,"direct - no simpler parent: registered herbicide active ingredient with its own ISO common name (the acetate ester is registered in its own right, unlike the small set of phenoxy acids in this lookup with an established multi-ester-collapse convention)",medium,"Could alternatively be resolved to Dinoterb (the parent dinitrophenol, CAS 1420-07-1) if the project wants dinitrophenol esters treated like phenoxy-acid esters; kept direct for consistency with the Dinobuton precedent elsewhere in this batch (also its own ISO name, also kept direct). Flag for reviewer."
3240786,"1,1'-Dimethyl-4,4'-bipyridium bromide (1:2)",4685-14-7,4685147,Paraquat dichloride,"different paraquat salt form (dibromide) -> Paraquat dichloride, the registered reference form per existing lookup precedent",high,
3282733,"Didodecyldimethylammonium bromide;N-Dodecyl-N,N-dimethyldodecan-1-aminium bromide",3282-73-3,3282733,Didodecyldimethylammonium bromide,direct - no simpler parent: quaternary ammonium salt,high,
3401749,"N-Dodecyl-N,N-dimethyl-1-dodecanaminium chloride (1:1)",3401-74-9,3401749,Didodecyldimethylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
3547339,2-Hydroxyethyl octyl sulfide;2-(Octylsulfanyl)ethan-1-ol,3547-33-9,3547339,2-Hydroxyethyl octyl sulfide,direct - no simpler parent: distinct organosulfide,high,
3572063,4-(4-(Acetyloxy)phenyl)-2-butanone;4-(3-Oxobutyl)phenyl acetate,3572-06-3,3572063,Raspberry ketone acetate,direct - no simpler parent: simple ester of a fragrance/flavour phenol,high,
3648360,"3H-Indolium, 2-[2-[4-[(2-chloroethyl)methylamino]phenyl]ethenyl]-1,3,3-trimethyl-, chloride (1:1);2-(2-{4-[(2-Chloroethyl)(methyl)amino]phenyl}vinyl)-1,3,3-trimethyl-3H-indolium chloride",3648-36-0,3648360,3H-Indolium dye salt (cyanine-type),"direct - no simpler parent: indolium chloride dye, cation is a permanently charged chromophore",high,
3653483,MCPA-sodium;Sodium (4-chloro-2-methylphenoxy)acetate,94-74-6,94746,MCPA,sodium salt -> MCPA acid parent (phenoxy herbicide convention),high,
